code,label_tr,label_en,definition,examples,version_added,deprecated_in_version,notes
52,Ordu,Ordu,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
53,Rize,Rize,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
54,Sakarya,Sakarya,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
55,Samsun,Samsun,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
56,Siirt,Siirt,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
57,Sinop,Sinop,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
58,Sivas,Sivas,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
59,Tekirdağ,Tekirdag,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
60,Tokat,Tokat,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
61,Trabzon,Trabzon,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
62,Tunceli,Tunceli,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
63,Şanlıurfa,Sanliurfa,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
64,Uşak,Usak,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
65,Van,Van,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
66,Yozgat,Yozgat,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
67,Zonguldak,Zonguldak,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
68,Aksaray,Aksaray,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
69,Bayburt,Bayburt,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
70,Karaman,Karaman,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
71,Kırıkkale,Kirikkale,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
72,Batman,Batman,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
73,Şırnak,Sirnak,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
74,Bartın,Bartin,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
75,Ardahan,Ardahan,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
76,Iğdır,Igdir,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
77,Yalova,Yalova,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
78,Karabük,Karabuk,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
79,Kilis,Kilis,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
80,Osmaniye,Osmaniye,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
81,Düzce,Duzce,Province (il),,1.0,,Official plate code; public reference data. Districts: see open question #6.
